date,price
2024-04-16,15526.0
2024-04-17,15512.5
2024-04-18,15444.166666666666
2024-04-19,15447.0
2024-04-20,15512.5
2024-04-21,15389.5
2024-04-22,15326.75
2024-04-23,15264.0
2024-04-24,15013.833333333334
2024-04-25,15520.833333333334
2024-04-26,15569.5
2024-04-27,14626.5
2024-04-28,14605.666666666666
2024-04-29,14464.0
2024-04-30,15111.166666666666
2024-05-01,14541.666666666666
2024-05-02,15180.5
2024-05-03,15180.5
2024-05-04,14541.666666666666
2024-05-05,14541.666666666666
2024-05-06,15375.0
2024-05-07,14180.5
2024-05-08,14513.833333333334
2024-05-09,14444.333333333334
2024-05-10,14444.333333333334
2024-05-11,14444.333333333334
2024-05-12,14444.333333333334
2024-05-13,14583.166666666666
2024-05-14,14444.333333333334
2024-05-15,14513.833333333334
2024-05-16,14513.833333333334
2024-05-17,14444.333333333334
2024-05-18,14291.5
2024-05-19,14250.0
2024-05-20,14513.833333333334
2024-05-21,14444.333333333334
2024-05-22,14111.166666666666
2024-05-23,14013.833333333334
2024-05-24,14111.166666666666
2024-05-25,14333.333333333334
2024-05-26,14055.5
2024-05-27,14125.0
2024-05-28,14014.0
2024-05-29,13875.0
2024-05-30,13875.0
2024-05-31,13875.0
2024-06-01,13875.0
2024-06-02,13875.0
2024-06-03,13832.0
2024-06-04,14300.0
2024-06-05,14300.0
2024-06-06,14597.166666666666
2024-06-07,14391.666666666666
2024-06-08,14300.0
2024-06-09,14300.0
2024-06-10,14841.666666666666
2024-06-11,13402.833333333334
2024-06-12,13402.833333333334
2024-06-13,13791.666666666666
2024-06-14,13791.666666666666
2024-06-15,13791.666666666666
2024-06-16,13569.5
2024-06-17,13583.333333333334
2024-06-18,13791.666666666666
2024-06-19,13791.666666666666
2024-06-20,13930.5
2024-06-21,13486.166666666666
2024-06-22,13569.5
2024-06-23,13847.166666666666
2024-06-24,13819.5
2024-06-25,14722.333333333334
2024-06-26,14125.0
2024-06-27,14652.833333333334
2024-06-28,14500.0
2024-06-29,14625.0
2024-06-30,14597.166666666666
2024-07-01,14479.166666666666
2024-07-02,14347.166666666666
2024-07-03,14451.333333333334
2024-07-04,14388.833333333334
2024-07-05,13666.666666666666
2024-07-06,13847.166666666666
2024-07-07,14250.0
2024-07-08,14562.5
2024-07-09,14562.5
2024-07-10,14708.333333333334
2024-07-11,14562.5
2024-07-12,14562.5
2024-07-13,13666.666666666666
2024-07-14,13639.0
2024-07-15,14562.5
2024-07-16,14175.0
2024-07-17,14672.166666666666
2024-07-18,14466.666666666666
2024-07-19,14467.0
